Mot,EchelonDB,Nature,Categorie,Classe,Niveau
maison,1,nom feminin,nom,CP,1
papa,1,nom masculin,nom,CP,1
porte,1,nom feminin,nom,CP,1
rue,1,nom feminin,nom,CP,1
avec,2,preposition,autres,CP,1
deux,2,adjectif numeral,determinant,CP,1
terre,2,nom feminin,nom,CP,1
été,3,nom masculin,nom,CP,1
maman,3,nom feminin,nom,CP,1
pipe,3,nom feminin,nom,CP,1
pour,3,preposition,autres,CP,1
table,3,nom feminin,nom,CP,1
école,4,nom feminin,nom,CP,1
jardin,4,nom masculin,nom,CP,1
mal,4,adverbe,autres,CP,1
bébé,5,nom masculin,nom,CP,1
carte,5,nom feminin,nom,CP,1
cheminée,5,nom feminin,nom,CP,1
livre,5,nom masculin,nom,CP,1
nature,5,nom feminin,nom,CP,1
rouge,5,adjectif qualificatif,adjectif,CP,1
sucre,5,nom masculin,nom,CP,1
tête,5,nom feminin,nom,CP,1
vache,5,nom feminin,nom,CP,1
achat,6,nom masculin,nom,CP,1
barbe,6,nom feminin,nom,CP,1
classe,6,nom feminin,nom,CP,1
feu,6,nom masculin,nom,CP,1
lion,6,nom masculin,nom,CP,1
matin,6,nom masculin,nom,CP,1
revenir,6,verbe 3eme groupe,verbe,CP,1
rive,6,nom feminin,nom,CP,1
robe,6,nom feminin,nom,CP,1
soir,6,nom masculin,nom,CP,1
vendredi,6,nom masculin,nom,CP,1
vigne,6,nom feminin,nom,CP,1
branche,7,nom feminin,nom,CP,1
brique,7,nom feminin,nom,CP,1
chat,7,nom masculin,nom,CP,1
facteur,7,nom masculin,nom,CP,1
femme,7,nom feminin,nom,CP,1
fermier,7,nom masculin,nom,CP,1
homme,7,nom masculin,nom,CP,1
jeudi,7,nom masculin,nom,CP,1
lapin,7,nom masculin,nom,CP,1
je,7,pronom,pronom,CP,1
lundi,7,nom masculin,nom,CP,1
mars,7,nom masculin,nom,CP,1
moulin,7,nom masculin,nom,CP,1
plante,7,nom feminin,nom,CP,1
poire,7,nom feminin,nom,CP,1
poste,7,nom commun,nom,CP,1
route,7,nom feminin,nom,CP,1
soleil,7,nom masculin,nom,CP,1
sur,7,preposition,autres,CP,1
triste,7,adjectif qualificatif,adjectif,CP,1
animal,8,nom masculin,nom,CE1,2
arbre,8,nom masculin,nom,CE1,2
arme,8,nom feminin,nom,CE1,2
aube,8,nom feminin,nom,CE1,2
autour,8,preposition,autres,CE1,2
avenir,8,nom masculin,nom,CE1,2
bouche,8,nom feminin,nom,CE1,2
brave,8,adjectif qualificatif,adjectif,CE1,2
chemin,8,nom masculin,nom,CE1,2
cheval,8,nom masculin,nom,CE1,2
culture,8,nom feminin,nom,CE1,2
devoir,8,verbe 3eme groupe,verbe,CE1,2
église,8,nom feminin,nom,CE1,2
enfant,8,nom commun,nom,CE1,2
étude,8,nom feminin,nom,CE1,2
fête,8,nom feminin,nom,CE1,2
image,8,nom feminin,nom,CE1,2
louer,8,verbe 1er groupe,verbe,CE1,2
mardi,8,nom masculin,nom,CE1,2
même,8,adverbe,autres,CE1,2
mort,8,nom masculin,nom,CE1,2
moustache,8,nom feminin,nom,CE1,2
niche,8,nom feminin,nom,CE1,2
ordre,8,nom masculin,nom,CE1,2
plume,8,nom feminin,nom,CE1,2
poupée,8,nom feminin,nom,CE1,2
pouvoir,8,verbe 3eme groupe,verbe,CE1,2
propre,8,adjectif qualificatif,adjectif,CE1,2
retenir,8,verbe 3eme groupe,verbe,CE1,2
rire,8,verbe 3eme groupe,verbe,CE1,2
sage,8,adjectif qualificatif,adjectif,CE1,2
solide,8,adjectif qualificatif,adjectif,CE1,2
soupe,8,nom feminin,nom,CE1,2
année,9,nom feminin,nom,CE1,2
article,9,nom masculin,nom,CE1,2
aviateur,9,nom masculin,nom,CE1,2
bonne,9,nom feminin,nom,CE1,2
café,9,nom masculin,nom,CE1,2
cage,9,nom feminin,nom,CE1,2
carton,9,nom masculin,nom,CE1,2
cave,9,nom feminin,nom,CE1,2
chaleur,9,nom feminin,nom,CE1,2
chambre,9,nom feminin,nom,CE1,2
chanteur,9,nom masculin,nom,CE1,2
charme,9,nom masculin,nom,CE1,2
coeur,9,nom masculin,nom,CE1,2
costume,9,nom masculin,nom,CE1,2
couche,9,nom feminin,nom,CE1,2
croix,9,nom feminin,nom,CE1,2
devenir,9,verbe 3eme groupe,verbe,CE1,2
douleur,9,nom feminin,nom,CE1,2
droite,9,adjectif qualificatif,adjectif,CE1,2
écriture,9,nom feminin,nom,CE1,2
famille,9,nom feminin,nom,CE1,2
fille,9,nom feminin,nom,CE1,2
fortune,9,nom feminin,nom,CE1,2
foudre,9,nom feminin,nom,CE1,2
journal,9,nom masculin,nom,CE1,2
lecture,9,nom feminin,nom,CE1,2
libre,9,adjectif qualificatif,adjectif,CE1,2
ligne,9,nom feminin,nom,CE1,2
lit,9,nom masculin,nom,CE1,2
maladie,9,nom feminin,nom,CE1,2
marbre,9,nom masculin,nom,CE1,2
marche,9,nom feminin,nom,CE1,2
marque,9,nom feminin,nom,CE1,2
